Meta;Sentence;Tokens;Lemmas;POS
Письмо тридцать восьмое. САДЫ И ПАРКИ;Но при чем тут человек? – спросят меня.;Но при чем тут человек ? – спросят меня .;но при что тут человек ? – спросить я .;CCONJ ADP PRON ADV NOUN PUNCT PUNCT VERB PRON PUNCT
Письмо тридцать восьмое. САДЫ И ПАРКИ;Ведь это то, что приносит вам природа, то, что вы можете воспринять, и даже с большей силой, в лесу, в горах, на берегу моря, а не только в парке.;Ведь это то , что приносит вам природа , то , что вы можете воспринять , и даже с большеи ̆ силой , в лесу , в горах , на берегу моря , а не только в парке .;ведь это то , что приносить вы природа , то , что вы мочь воспринять , и даже с больший ̆ силой , в лес , в гора , на берег море , а не только в парк .;PART PRON PRON PUNCT PRON VERB PRON NOUN PUNCT PRON PUNCT PRON PRON VERB VERB PUNCT CCONJ PART ADP ADJ PUNCT NOUN PUNCT ADP NOUN PUNCT ADP NOUN PUNCT ADP NOUN NOUN PUNCT CCONJ PART PART ADP NOUN PUNCT
Письмо тридцать восьмое. САДЫ И ПАРКИ;Нет, сады и парки – это тот важный рубеж, на котором объединяются человек и природа.;Нет , сады и парки – это тот важныи ̆ рубеж , на котором объединяются человек и природа .;нет , сад и парк – это тот важный ̆ рубеж , на который объединяться человек и природа .;PART PUNCT NOUN CCONJ NOUN PUNCT PRON DET ADJ PUNCT NOUN PUNCT ADP PRON VERB NOUN CCONJ NOUN PUNCT
Письмо тридцать восьмое. САДЫ И ПАРКИ;Сады и парки одинаково важны – ив городе и за пределами города.;Сады и парки одинаково важны – ив городе и за пределами города .;сад и парк одинаково важный – ив город и за предел город .;NOUN CCONJ NOUN ADV ADJ PUNCT ADP NOUN CCONJ ADP NOUN NOUN PUNCT
Письмо тридцать восьмое. САДЫ И ПАРКИ;Не случайно так много чудеснейших парков в родном нашем Подмосковье.;Не случайно так много чудеснейших парков в родном нашем Подмосковье .;не случайно так много чудеснейший парк в родной наш Подмосковье .;PART ADV ADV NUM ADJ NOUN ADP ADJ DET PROPN PUNCT
Письмо тридцать восьмое. САДЫ И ПАРКИ;Нет ничего более захватывающего, увлекающего, волнующего, чем вносить человеческое в природу, а природу торжественно, «за руку» вводить в человеческое общество: смотрите, любуйтесь, радуйтесь.;Нет ничего более захватывающего , увлекающего , волнующего , чем вносить человеческое в природу , а природу торжественно , « за руку » вводить в человеческое общество : смотрите , любуйтесь , радуйтесь .;"нет ничто более захватывающий , увлекать , волновать , чем вносить человеческий в природа , а природа торжественно , "" за рука "" вводить в человеческий общество : смотреть , любуться , радуиться .";VERB PRON ADV ADJ PUNCT VERB PUNCT VERB PUNCT SCONJ VERB ADJ ADP NOUN PUNCT CCONJ NOUN ADV PUNCT PUNCT ADP NOUN PUNCT VERB ADP ADJ NOUN PUNCT VERB PUNCT VERB PUNCT VERB PUNCT
Письмо тридцать восьмое. САДЫ И ПАРКИ;И чем более дика природа, тем острее и глубже ее сообщество с человеком.;И чем более дика природа , тем острее и глубже ее сообщество с человеком .;и чем более дикий природа , тем остро и глубокий ее сообщество с человек .;CCONJ SCONJ ADV ADJ NOUN PUNCT SCONJ ADJ CCONJ ADJ DET NOUN ADP NOUN PUNCT
Письмо тридцать восьмое. САДЫ И ПАРКИ;Вот почему такое огромное впечатление производят Крымский парк в Алупке, устраивавшийся Воронцовым, и выборгский парк «Мон репо» («Мое отдохновение») в типично русском имении баронов Николай.;Вот почему такое огромное впечатление производят Крымскии ̆ парк в Алупке , устраивавшийся Воронцовым , и выборгскии ̆ парк « Мон репо » ( « Мое отдохновение » ) в типично русском имении баронов Николай .;"вот почему такой огромный впечатление производить крымский ̆ парк в Алупокая , устраивавшиться Воронцов , и выборгский ̆ парк "" Мон репо "" ( "" мой отдохновение "" ) в типично русский имение барон Николай .";PART ADV DET ADJ NOUN VERB ADJ PUNCT NOUN ADP PROPN PUNCT VERB PROPN PUNCT CCONJ ADJ PUNCT NOUN PUNCT PROPN NOUN PUNCT PUNCT PUNCT DET NOUN PUNCT PUNCT ADP ADV ADJ NOUN NOUN PROPN PUNCT
Письмо тридцать восьмое. САДЫ И ПАРКИ;В Алупке над парком громоздятся и «показывают себя» горы, а под парком бьются о гигантские камни волны Черного моря.;В Алупке над парком громоздятся и « показывают себя » горы , а под парком бьются о гигантские камни волны Черного моря .;"в Алупокая над парк громоздиться и "" показывать себя "" гора , а под парк биться о гигантский камень волна черный море .";ADP PROPN ADP NOUN VERB CCONJ PUNCT VERB PRON PUNCT NOUN PUNCT CCONJ ADP NOUN VERB ADP ADJ NOUN NOUN ADJ NOUN PUNCT
Письмо тридцать восьмое. САДЫ И ПАРКИ;В парке «Мон репо» на голых красных гранитных скалах растут сосны, открываются бесконечные виды на шхеры с их плывущими в водной голубизне островами.;В парке « Мон репо » на голых красных гранитных скалах растут сосны , открываются бесконечные виды на шхеры с их плывущими в водной голубизне островами .;"в парк "" Мон репо "" на голый красный гранитный скала расти сосна , открываться бесконечный вид на шхера с их плыть в водный голубизна остров .";ADP NOUN PUNCT PROPN NOUN PUNCT ADP ADJ ADJ ADJ NOUN VERB NOUN PUNCT VERB ADJ NOUN ADP NOUN ADP DET VERB ADP ADJ NOUN NOUN PUNCT
Письмо тридцать восьмое. САДЫ И ПАРКИ;Но и в том и другом парке при всей грандиозности природы всюду видна разумная рука человека и уютные дворцы хозяев приветливо венчают окружающую первозданную дикость ландшафта.;Но и в том и другом парке при всей грандиозности природы всюду видна разумная рука человека и уютные дворцы хозяев приветливо венчают окружающую первозданную дикость ландшафта .;но и в тот и другой парк при всей грандиозность природа всюду видный разумный рука человек и уютный дворец хозяин приветливо венчать окружать первозданный дикость ландшафт .;CCONJ PART ADP DET CCONJ ADJ NOUN ADP DET NOUN NOUN ADV ADJ ADJ NOUN NOUN CCONJ ADJ NOUN NOUN ADV VERB VERB ADJ NOUN NOUN PUNCT
Письмо тридцать восьмое. САДЫ И ПАРКИ;Не случайно и Петр каналами подводил море к своим загородным парковым дворцам – в Новом Петергофе, Стрельне, Ораниенбауме.;Не случайно и Петр каналами подводил море к своим загородным парковым дворцам – в Новом Петергофе , Стрельне , Ораниенбауме .;не случайно и Петр канал подводить море к свой загородный парковый дворец – в новый Петергоф , Стрельна , Ораниенбаум .;PART ADV CCONJ PROPN NOUN VERB NOUN ADP DET ADJ ADJ NOUN PUNCT ADP ADJ PROPN PUNCT PROPN PUNCT PROPN PUNCT
Письмо тридцать восьмое. САДЫ И ПАРКИ;Каналы соединяли дворцы и парки с морем не только водой, но и воздухом – открывавшейся на море перспективой – и вводили морскую воду в окружение деревьев и любимых Петром душистых цветов.;Каналы соединяли дворцы и парки с морем не только водой , но и воздухом – открывавшейся на море перспективой – и вводили морскую воду в окружение деревьев и любимых Петром душистых цветов .;канал соединять дворец и парк с море не только водой , но и воздух – открывавшеться на море перспективой – и вводить морской вода в окружение дерево и любимый Петр душистый цветы .;NOUN VERB NOUN CCONJ NOUN ADP NOUN PART PART NOUN PUNCT CCONJ PART NOUN PUNCT VERB ADP NOUN NOUN PUNCT CCONJ VERB ADJ NOUN ADP NOUN NOUN CCONJ ADJ PROPN ADJ NOUN PUNCT
Письмо тридцать восьмое. САДЫ И ПАРКИ;Есть и еще одна сфера, которую человеку дарит по преимуществу парк или даже только парк.;Есть и еще одна сфера , которую человеку дарит по преимуществу парк или даже только парк .;быть и еще один сфера , который человек дарить по преимущество парк или даже только парк .;VERB PART ADV NUM NOUN PUNCT PRON NOUN VERB ADP NOUN NOUN CCONJ PART PART NOUN PUNCT
Письмо тридцать восьмое. САДЫ И ПАРКИ;Это сфера исторического времени, сфера воспоминаний и поэтических ассоциаций.;Это сфера исторического времени , сфера воспоминании ̆ и поэтических ассоциации ̆ .;это сфера исторический время , сфера воспоминание ̆ и поэтический ассоциация ̆ .;PRON NOUN ADJ NOUN PUNCT NOUN NOUN PUNCT CCONJ ADJ NOUN PUNCT PUNCT
Письмо тридцать восьмое. САДЫ И ПАРКИ;Исторические воспоминания и поэтические ассоциации – это и есть то, что больше всего очеловечивает природу в парках и садах, что составляет их суть и особенность.;Исторические воспоминания и поэтические ассоциации – это и есть то , что больше всего очеловечивает природу в парках и садах , что составляет их суть и особенность .;исторический воспоминание и поэтический ассоциация – это и быть то , что больше все очеловечивать природа в парк и сад , что составлять их суть и особенность .;ADJ NOUN CCONJ ADJ NOUN PUNCT PRON PART AUX PRON PUNCT PRON ADV PRON VERB NOUN ADP NOUN CCONJ NOUN PUNCT PRON VERB DET NOUN CCONJ NOUN PUNCT
Письмо тридцать восьмое. САДЫ И ПАРКИ;Парки ценны не только тем, что в них есть, но и тем, что в них было.;Парки ценны не только тем , что в них есть , но и тем , что в них было .;парк ценный не только то , что в они быть , но и то , что в они быть .;NOUN ADJ PART PART PRON PUNCT PRON ADP PRON VERB PUNCT CCONJ PART PRON PUNCT PRON ADP PRON VERB PUNCT
Письмо тридцать восьмое. САДЫ И ПАРКИ;Временная перспектива, которая открывается в них, не менее важна, чем перспектива зрительная.;Временная перспектива , которая открывается в них , не менее важна , чем перспектива зрительная .;временный перспектива , который открываться в они , не менее важный , чем перспектива зрительный .;ADJ NOUN PUNCT PRON VERB ADP PRON PUNCT PART ADV ADJ PUNCT SCONJ NOUN ADJ PUNCT
Письмо тридцать восьмое. САДЫ И ПАРКИ;«Воспоминания в Царском Селе» – так назвал Пушкин лучшее из наиболее ранних своих стихотворений.;« Воспоминания в Царском Селе » – так назвал Пушкин лучшее из наиболее ранних своих стихотворении ̆ .;""" воспоминание в царский Село "" – так назвать Пушкин лучший из наиболее ранний свой стихотворение ̆ .";PUNCT NOUN ADP ADJ PROPN PUNCT PUNCT ADV VERB PROPN ADJ ADP ADV ADJ DET NOUN PUNCT PUNCT
Письмо тридцать восьмое. САДЫ И ПАРКИ;Отношение к прошлому может быть двух родов: как к некоторому зрелищу, театру, представлению, декорации и как к документу.;Отношение к прошлому может быть двух родов : как к некоторому зрелищу , театру , представлению , декорации и как к документу .;отношение к прошлое мочь быть два род : как к некоторый зрелище , театр , представление , декорация и как к документ .;NOUN ADP NOUN VERB AUX NUM NOUN PUNCT SCONJ ADP DET NOUN PUNCT NOUN PUNCT NOUN PUNCT NOUN CCONJ SCONJ ADP NOUN PUNCT
Письмо тридцать восьмое. САДЫ И ПАРКИ;Первое отношение стремится воспроизвести прошлое, возродить его зрительный образ.;Первое отношение стремится воспроизвести прошлое , возродить его зрительныи ̆ образ .;первый отношение стремиться воспроизвести прошлое , возродить его зрительный ̆ образ .;ADJ NOUN VERB VERB NOUN PUNCT VERB DET ADJ PUNCT NOUN PUNCT
Письмо тридцать восьмое. САДЫ И ПАРКИ;Второе стремится сохранить прошлое хотя бы в его частичных остатках.;Второе стремится сохранить прошлое хотя бы в его частичных остатках .;второй стремиться сохранить прошлое хотя бы в его частичный остатки .;ADJ VERB VERB NOUN PART PART ADP DET ADJ NOUN PUNCT
Письмо тридцать восьмое. САДЫ И ПАРКИ;Для первого в садово-парковом искусстве важно воссоздать внешний, зрительный образ парка или сада таким, каким его видели в тот или иной момент его жизни.;Для первого в садово- парковом искусстве важно воссоздать внешний , зрительныи ̆ образ парка или сада таким , каким его видели в тот или иной момент его жизни .;для первый в садовый парковый искусство важный воссоздать внешнийый , зрительный ̆ образ парк или сад такой , какой он видеть в тот или иной момент его жизнь .;ADP ADJ ADP ADJ ADJ NOUN ADJ VERB ADJ PUNCT ADJ PUNCT NOUN NOUN CCONJ NOUN DET PUNCT DET PRON VERB ADP DET CCONJ ADJ NOUN DET NOUN PUNCT
Письмо тридцать восьмое. САДЫ И ПАРКИ;Для второго важно ощутить свидетельство времени, важна документальность.;Для второго важно ощутить свидетельство времени , важна документальность .;для второй важный ощутить свидетельство время , важный документальность .;ADP ADJ ADJ VERB NOUN NOUN PUNCT ADJ NOUN PUNCT
Письмо тридцать восьмое. САДЫ И ПАРКИ;"Первое говорит: таким он выглядел; второе свидетельствует: это тот самый, он был, может быть, не таким, но это подлинно тот, это те липы, те садовые строения, те самые скульптуры.";"Первое говорит : таким он выглядел ; второе свидетельствует : это тот самый , он был , может быть , не таким , но это подлинно тот , это те липы , те садовые строения , те самые скульптуры .";"первый говорить : такой он выглядеть ; второй свидетельствовать : это тот самый , он быть , мочь быть , не такой , но это подлинно тот , это тот липа , тот садовый строение , тот самый скульптура .";ADJ VERB PUNCT DET PRON VERB PUNCT ADJ VERB PUNCT PRON DET ADJ PUNCT PRON AUX PUNCT VERB VERB PUNCT PART DET PUNCT CCONJ PRON ADV DET PUNCT PRON DET NOUN PUNCT DET ADJ NOUN PUNCT DET ADJ NOUN PUNCT
Письмо тридцать восьмое. САДЫ И ПАРКИ;Второе отношение терпимее к первому, чем первое ко второму.;Второе отношение терпимее к первому , чем первое ко второму .;второй отношение терпимый к первый , чем первый к второй .;ADJ NOUN ADJ ADP ADJ PUNCT SCONJ ADJ ADP ADJ PUNCT
Письмо тридцать восьмое. САДЫ И ПАРКИ;Первое отношение к прошлому требует вырубить в аллее старые деревья и насадить новые: так аллея выглядела.;Первое отношение к прошлому требует вырубить в аллее старые деревья и насадить новые : так аллея выглядела .;первый отношение к прошлое требовать вырубить в аллея старый дерево и насадить новый : так аллея выглядеть .;ADJ NOUN ADP NOUN VERB VERB ADP NOUN ADJ NOUN CCONJ VERB ADJ PUNCT ADV NOUN VERB PUNCT
Письмо тридцать восьмое. САДЫ И ПАРКИ;Второе отношение сложнее: сохранить все старые деревья, продлить им жизнь и подсадить к ним на места погибших молодые.;Второе отношение сложнее : сохранить все старые деревья , продлить им жизнь и подсадить к ним на места погибших молодые .;второй отношение сложный : сохранить весь старый дерево , продлить они жизнь и подсадить к он на место погибнуть молодой .;ADJ NOUN ADJ PUNCT VERB DET ADJ NOUN PUNCT VERB PRON NOUN CCONJ VERB ADP PRON ADP NOUN VERB ADJ PUNCT
Письмо тридцать восьмое. САДЫ И ПАРКИ;Две-три старые дуплистые липы среди сотни молодых будут свидетельствовать: это та самая аллея – вот они, старожилы.;Две-три старые дуплистые липы среди сотни молодых будут свидетельствовать : это та самая аллея – вот они , старожилы .;две-три старый дуплистый липа среди сотня молодой быть свидетельствовать : это тот самый аллея – вот они , старожил .;NUM ADJ ADJ NOUN ADP NOUN ADJ AUX VERB PUNCT PRON DET ADJ NOUN PUNCT PART PRON PUNCT NOUN PUNCT
Письмо тридцать восьмое. САДЫ И ПАРКИ;А о молодых деревьях не надо заботиться: они растут быстро и скоро аллея приобретет прежний вид.;А о молодых деревьях не надо заботиться : они растут быстро и скоро аллея приобретет прежнии ̆ вид .;а о молодой дерево не надо заботиться : они расти быстро и скоро аллея приобрести прежний ̆ вид .;CCONJ ADP ADJ NOUN PART ADV VERB PUNCT PRON VERB ADV CCONJ ADV NOUN VERB ADJ PUNCT NOUN PUNCT
Письмо тридцать восьмое. САДЫ И ПАРКИ;Но в двух отношениях к прошлому есть и еще одно существенное различие.;Но в двух отношениях к прошлому есть и еще одно существенное различие .;но в два отношение к прошлое быть и еще один существенный различие .;CCONJ ADP NUM NOUN ADP NOUN VERB PART ADV NUM ADJ NOUN PUNCT
Письмо тридцать восьмое. САДЫ И ПАРКИ;Первое будет требовать: только одна эпоха – эпоха создания парка, или его расцвета, или чем-либо знаменательная.;Первое будет требовать : только одна эпоха – эпоха создания парка , или его расцвета , или чем-либо знаменательная .;первый быть требовать : только один эпоха – эпоха создание парк , или его расцвет , или что-либо знаменательный .;ADJ AUX VERB PUNCT PART NUM NOUN PUNCT NOUN NOUN NOUN PUNCT CCONJ DET NOUN PUNCT CCONJ PRON ADJ PUNCT
Письмо тридцать восьмое. САДЫ И ПАРКИ;Второе скажет: пусть живут все эпохи, так или иначе знаменательные, ценна вся жизнь парка целиком, ценны воспоминания о различных эпохах и о различных поэтах, воспевших эти места, – и от реставрации потребует не восстановления, а сохранения.;Второе скажет : пусть живут все эпохи , так или иначе знаменательные , ценна вся жизнь парка целиком , ценны воспоминания о различных эпохах и о различных поэтах , воспевших эти места , – и от реставрации потребует не восстановления , а сохранения .;второй сказать : пусть жить весь эпоха , так или иначе знаменательный , ценный весь жизнь парк целиком , ценный воспоминание о различный эпоха и о различный поэт , воспеть этот место , – и от реставрация требовать не восстановление , а сохранение .;ADJ VERB PUNCT PART VERB DET NOUN PUNCT ADV CCONJ ADV ADJ PUNCT ADJ DET NOUN NOUN ADV PUNCT ADJ NOUN ADP ADJ NOUN CCONJ ADP ADJ NOUN PUNCT VERB DET NOUN PUNCT PUNCT CCONJ ADP NOUN VERB PART NOUN PUNCT CCONJ NOUN PUNCT
Письмо тридцать восьмое. САДЫ И ПАРКИ;Первое отношение к паркам и садам открыл в России Александр Бенуа с его эстетским культом времени императрицы Елизаветы Петровны и ее Екатерининского парка в Царском Селе.;Первое отношение к паркам и садам открыл в России Александр Бенуа с его эстетским культом времени императрицы Елизаветы Петровны и ее Екатерининского парка в Царском Селе .;первый отношение к парк и сад открыть в Россия Александр Бенуа с его эстетский культ время императрица Елизавета Петровна и ее екатерининский парк в царский Село .;ADJ NOUN ADP NOUN CCONJ NOUN VERB ADP PROPN PROPN PROPN ADP DET ADJ NOUN NOUN NOUN PROPN PROPN CCONJ DET ADJ NOUN ADP ADJ PROPN PUNCT
Письмо тридцать восьмое. САДЫ И ПАРКИ;С ним поэтически полемизировала Ахматова, для которой в Царском был важен Пушкин, а не Елизавета: «3десь лежала его треуголка и растрепанный том Парни».;С ним поэтически полемизировала Ахматова , для которой в Царском был важен Пушкин , а не Елизавета : « 3десь лежала его треуголка и растрепанныи ̆ том Парни » .;"с он поэтически полемизировать Ахматова , для который в царский быть важный Пушкин , а не Елизавета : "" 3десь лежать его треуголка и растрепать ̆ том Парнь "" .";ADP PRON ADV VERB PROPN PUNCT ADP PRON ADP ADJ AUX ADJ PROPN PUNCT CCONJ PART PROPN PUNCT PUNCT ADV VERB DET NOUN CCONJ VERB PUNCT NOUN PROPN PUNCT PUNCT
Письмо тридцать восьмое. САДЫ И ПАРКИ;Да, вы поняли меня правильно: я на стороне второго отношения к памятникам прошлого.;Да , вы поняли меня правильно : я на стороне второго отношения к памятникам прошлого .;да , вы понять я правильно : я на сторона второй отношение к памятник прошлое .;PART PUNCT PRON VERB PRON ADV PUNCT PRON ADP NOUN ADJ NOUN ADP NOUN NOUN PUNCT
Письмо тридцать восьмое. САДЫ И ПАРКИ;И не только потому, что второе отношение шире, терпимее и осторожнее, менее самоуверенно и оставляет больше природе, заставляя уважительно отступать внимательного человека, но и потому еще, что оно требует от человека большего воображения, большей творческой активности.;И не только потому , что второе отношение шире , терпимее и осторожнее , менее самоуверенно и оставляет больше природе , заставляя уважительно отступать внимательного человека , но и потому еще , что оно требует от человека большего воображения , большей творческой активности .;и не только потому , что второй отношение широкий , терпимый и осторожный , менее самоуверенный и оставлять больше природа , заставлять уважительно отступать внимательный человек , но и потому еще , что оно требовать от человек больший воображение , большой творческой активность .;CCONJ PART PART ADV PUNCT SCONJ ADJ NOUN ADJ PUNCT ADJ CCONJ ADJ PUNCT ADV ADJ CCONJ VERB ADV NOUN PUNCT VERB ADV VERB ADJ NOUN PUNCT CCONJ PART ADV ADV PUNCT SCONJ PRON VERB ADP NOUN ADJ NOUN PUNCT ADJ ADJ NOUN PUNCT
Письмо тридцать восьмое. САДЫ И ПАРКИ;Восприятие памятника искусства только тогда полноценно, когда оно мысленно воссоздает, творит вместе с творцом, исполнено историческими ассоциациями.;Восприятие памятника искусства только тогда полноценно , когда оно мысленно воссоздает , творит вместе с творцом , исполнено историческими ассоциациями .;восприятие памятник искусство только тогда полноценно , когда оно мысленно воссоздавать , творить вместе с творец , исполнить исторический ассоциация .;NOUN NOUN NOUN PART ADV ADJ PUNCT SCONJ PRON ADV VERB PUNCT VERB ADV ADP NOUN PUNCT VERB ADJ NOUN PUNCT
Письмо тридцать восьмое. САДЫ И ПАРКИ;Первое отношение к прошлому создает, в общем-то, учебные пособия, учебные макеты: смотрите и знайте!;Первое отношение к прошлому создает , в общем - то , учебные пособия , учебные макеты : смотрите и знайте !;первый отношение к прошлое создавать , в общий - то , учебный пособие , учебный макет : смотреть и знать !;ADJ NOUN ADP NOUN VERB PUNCT ADP ADJ PUNCT PART PUNCT ADJ NOUN PUNCT ADJ NOUN PUNCT VERB CCONJ VERB PUNCT
Письмо тридцать восьмое. САДЫ И ПАРКИ;Второе отношение к прошлому требует правды, аналитической способности: надо отделить возраст от объекта, надо вообразить, как тут было, надо в некоторой степени исследовать.;Второе отношение к прошлому требует правды , аналитической способности : надо отделить возраст от объекта , надо вообразить , как тут было , надо в некоторой степени исследовать .;второй отношение к прошлое требовать правда , аналитической способность : надо отделить возраст от объект , надо вообразить , как тут быть , надо в некоторой степень исследовать .;ADJ NOUN ADP NOUN VERB NOUN PUNCT ADJ NOUN PUNCT ADV VERB NOUN ADP NOUN PUNCT ADV VERB PUNCT SCONJ ADV VERB PUNCT ADV ADP DET NOUN VERB PUNCT
Письмо тридцать восьмое. САДЫ И ПАРКИ;Это второе отношение требует большей интеллектуальной дисциплины, больших знаний от самого зрителя: смотрите и воображайте.;Это второе отношение требует большей интеллектуальной дисциплины , больших знании ̆ от самого зрителя : смотрите и воображайте .;этот второй отношение требовать большой интеллектуальной дисциплина , большой знание ̆ от сам зритель : смотреть и воображать .;DET ADJ NOUN VERB ADJ ADJ NOUN PUNCT ADJ NOUN PUNCT ADP ADJ NOUN PUNCT VERB CCONJ VERB PUNCT
Письмо тридцать восьмое. САДЫ И ПАРКИ;И это интеллектуальное отношение к памятникам прошлого рано или поздно возникает вновь и вновь.;И это интеллектуальное отношение к памятникам прошлого рано или поздно возникает вновь и вновь .;и этот интеллектуальный отношение к памятник прошлое рано или поздно возникать вновь и вновь .;CCONJ DET ADJ NOUN ADP NOUN NOUN ADV CCONJ ADV VERB ADV CCONJ ADV PUNCT
Письмо тридцать восьмое. САДЫ И ПАРКИ;Нельзя убить подлинное прошлое и заменить его театрализованным, даже если театрализованные реконструкции уничтожили все документы, но место осталось: здесь, на этом месте, на этой почве, в этом географическом пункте, было – он был, оно, что-то памятное произошло.;Нельзя убить подлинное прошлое и заменить его театрализованным , даже если театрализованные реконструкции уничтожили все документы , но место осталось : здесь , на этом месте , на этой почве , в этом географическом пункте , было – он был , оно , что-то памятное произошло .;нельзя убить подлинный прошлое и заменить он театрализованный , даже если театрализованный реконструкция уничтожить весь документ , но место остаться : здесь , на этот место , на этот почва , в этот географический пункт , быть – он быть , оно , что-то памятный произойти .;ADV VERB ADJ NOUN CCONJ VERB PRON ADJ PUNCT PART SCONJ ADJ NOUN VERB DET NOUN PUNCT CCONJ NOUN VERB PUNCT ADV PUNCT ADP DET NOUN PUNCT ADP DET NOUN PUNCT ADP DET ADJ NOUN PUNCT VERB PUNCT PRON AUX PUNCT PRON PUNCT PRON ADJ VERB PUNCT
Письмо тридцать восьмое. САДЫ И ПАРКИ;Театральность проникает и в реставрации памятников архитектуры.;Театральность проникает и в реставрации памятников архитектуры .;театральность проникать и в реставрация памятник архитектура .;NOUN VERB PART ADP NOUN NOUN NOUN PUNCT
Письмо тридцать восьмое. САДЫ И ПАРКИ;Подлинность теряется среди предположительно восстановленного.;Подлинность теряется среди предположительно восстановленного .;подлинность теряться среди предположительно восстановить .;NOUN VERB ADP ADV VERB PUNCT
Письмо тридцать восьмое. САДЫ И ПАРКИ;Реставраторы доверяют случайным свидетельствам, если эти свидетельства позволяют восстановить этот памятник архитектуры таким, каким он мог бы быть особенно интересным.;Реставраторы доверяют случайным свидетельствам , если эти свидетельства позволяют восстановить этот памятник архитектуры таким , каким он мог бы быть особенно интересным .;реставратор доверять случайный свидетельство , если этот свидетельство позволять восстановить этот памятник архитектура такой , какой он мочь бы быть особенно интересный .;NOUN VERB ADJ NOUN PUNCT SCONJ DET NOUN VERB VERB DET NOUN NOUN DET PUNCT DET PRON VERB AUX AUX ADV ADJ PUNCT
Письмо тридцать восьмое. САДЫ И ПАРКИ;Так восстановлена в Новгороде Евфимиевская часовня: получился маленький храмик на столпе.;Так восстановлена в Новгороде Евфимиевская часовня : получился маленькии ̆ храмик на столпе .;так восстановить в Новгород евфимиевский часовня : получиться маленький ̆ храмик на столпе .;ADV VERB ADP PROPN ADJ NOUN PUNCT VERB ADJ PUNCT NOUN ADP NOUN PUNCT
Письмо тридцать восьмое. САДЫ И ПАРКИ;Нечто совершенно чуждое древнему Новгороду.;Нечто совершенно чуждое древнему Новгороду .;нечто совершенно чуждый древний Новгород .;PRON ADV ADJ ADJ PROPN PUNCT
Письмо тридцать восьмое. САДЫ И ПАРКИ;"Сколько памятников было погублено реставраторами в XIX веке вследствие привнесения в
них элементов эстетики нового времени.";Сколько памятников было погублено реставраторами в XIX веке вследствие привнесения в них элементов эстетики нового времени .;сколько памятник быть погубить реставратор в xix век вследствие привнесение в они элемент эстетика новый время .;NUM NOUN AUX VERB NOUN ADP ADJ NOUN ADP NOUN ADP PRON NOUN NOUN ADJ NOUN PUNCT
Письмо тридцать восьмое. САДЫ И ПАРКИ;Реставраторы добивались симметрии там, где она была чужда самому духу стиля – романскому или готическому, – пытались заменить живую линию геометрически правильной, высчитанной математически и т.п.;Реставраторы добивались симметрии там , где она была чужда самому духу стиля – романскому или готическому , – пытались заменить живую линию геометрически правильной , высчитанной математически и т. п.;реставратор добиваться симметрия там , где она быть чуждый сам дух стиль – романский или готический , – пытаться заменить живой линия геометрически правильный , высчитать математически и то подобный;NOUN VERB NOUN ADV PUNCT ADV PRON AUX ADJ ADJ NOUN NOUN PUNCT ADJ CCONJ ADJ PUNCT PUNCT VERB VERB ADJ NOUN ADV ADJ PUNCT VERB ADV CCONJ PRON ADV
Письмо тридцать восьмое. САДЫ И ПАРКИ;Так засушены и Кельнский собор, и Нотр-Дам в Париже, и аббатство Сен-Дени.;Так засушены и Кельнскии ̆ собор , и Нотр-Дам в Париже , и аббатство Сен-Дени .;так засушить и кельнский ̆ собор , и Нотр-Дам в Париж , и аббатство Сен-Дени .;ADV VERB PART ADJ PUNCT NOUN PUNCT CCONJ PROPN ADP PROPN PUNCT CCONJ NOUN PROPN PUNCT
Письмо тридцать восьмое. САДЫ И ПАРКИ;Засушены, законсервированы были целые города в Германии – особенно в период идеализации немецкого прошлого.;Засушены , законсервированы были целые города в Германии – особенно в период идеализации немецкого прошлого .;засушенный , законсервировать быть целый город в Германия – особенно в период идеализация немецкий прошлое .;ADJ PUNCT VERB AUX ADJ NOUN ADP PROPN PUNCT ADV ADP NOUN NOUN ADJ NOUN PUNCT
Письмо тридцать восьмое. САДЫ И ПАРКИ;Все это я пишу не зря.;Все это я пишу не зря .;весь это я писать не зря .;DET PRON PRON VERB PART ADV PUNCT
Письмо тридцать восьмое. САДЫ И ПАРКИ;Отношение к прошлому формирует собственный национальный облик.;Отношение к прошлому формирует собственныи ̆ национальныи ̆ облик .;отношение к прошлое формировать собственный ̆ национальный ̆ облик .;NOUN ADP NOUN VERB ADJ PUNCT ADJ PUNCT NOUN PUNCT
